PINAR DE CHAMARTIN,1;4;ML1
EL CARRASCAL,12
JULIAN BESTEIRO,12
CASA DEL RELOJ,12
HOSPITAL SEVERO OCHOA,12
LEGANES CENTRAL,12;C5
SAN NICASIO,12
RECOLETOS,C1;C2;C7;C8;C10
FUENTE DE LA MORA,C1
VALDEBEBAS,C1
GUADALAJARA,C2;C8
AZUQUECA,C2;C8
MECO,C2;C8
ALCALA DE HENARES UNIVERSIDAD,C2;C8
ALCALA DE HENARES,C2;C7;C8
LA GARENA,C2;C7;C8
SOTO DEL HENARES,C2;C7;C8
TORREJON DE ARDOZ,C2;C7;C8
SANTA EUGENIA,C2;C7;C8
EL POZO,C2;C7;C8
ASAMBLEA DE MADRID-ENTREVIAS,C2;C7;C8
ARANJUEZ,C3;C3A
CIEMPOZUELOS,C3;C3A
VALDEMORO,C3;C3A
PINTO,C3;C3A
GETAFE INDUSTRIAL,C3;C3A
SAN CRISTOBAL INDUSTRIAL,C3;C3A
SAN CRISTOBAL DE LOS ANGELES,C3;C3A
VILLAVERDE BAJO,C3;C3A;C4
RAMON Y CAJAL,C3A;C7;C8
PINAR DE LAS ROZAS,C3A;C8;C10
LAS MATAS,C3A;C8;C10
TORRELODONES,C3A;C8;C10
GALAPAGAR LA NAVATA,C3A;C8;C10
SAN YAGO,C3A
LAS ZORRERAS,C3A
EL ESCORIAL,C3A
ZARZALEJO,C3A
ROBLEDO DE CHAVELA,C3A
SANTA MARIA DE LA ALAMEDA,C3A
PARLA,C4
GETAFE SECTOR 3,C4
LAS MARGARITAS,C4
VILLAVERDE ALTO,C4;C5
FUENCARRAL,C4
UNIVERSIDAD PONTIFICIA DE COMILLAS,C4A
VALDELASFUENTES,C4A
ALCOBENDAS-SAN SEBASTIAN DE LOS REYES,C4;C4A
EL GOLOSO,C4B
TRES CANTOS,C4B
COLMENAR VIEJO,C4;C4B
MOSTOLES EL SOTO,C5
LAS RETAMAS,C5
SAN JOSE DE VALDERAS,C5
LAS AGUILAS,C5
FANJUL,C5
DOCE DE OCTUBRE,C5
ORCASITAS,C5
PUENTE ALCOCER,C5
ZARZAQUEMADA,C5
PARQUE POLVORANCA,C5
LA SERNA,C5
HUMANES,C5
LAS ROZAS,C7
MAJADAHONDA,C7
EL BARRIAL-CENTROL COMERCIAL,C7
POZUELO,C7
ARAVACA,ML2;C7
LOS NEGRALES,C8
ALPEDRETE,C8
COLLADO MEDIANO,C8
LOS MOLINOS,C8
CERCEDILLA,C8;C9
PUERTO DE NAVACERRADA,C9
COTOS,C9
VIRGEN DEL CORTIJO,ML1
BLASCO IBAÑEZ,ML1
MARIA TUDOR,ML1
PRADO DE LA VEGA,ML2
COLONIA DE LOS ANGELES,ML2
PRADO DEL REY,ML2
SOMOSAGUAS SUR,ML2
SOMOSAGUAS CENTRO,ML2
